English,Igala
begin,chánẹ́ẹ̀
beginning,ẹ̀tẹ̀-ẹ̀tẹ̀
behalf,ọla
behind,ùbì
belief,ínẹ́ẹ̀
believe,jẹ́nyú
believed,kámá
bell,ílo
below,étíbā
bend,gọ̀
beneath,étíbā
benefit,j’ìlè
beside,ìbá
best,jálíí
bet,fíálu
better,mẹ́
between,àgbàdé
beyond,lé
Bible,Báíbùlù
big,lile
bill,ọ́kọ́
billion,mílíọ̀nù
bind,jì
bird,ẹ́wẹ
birds,àmẹ́wẹ
birth,úbí
birthday,ọ́jọ́ úbī
bit,ágẹ́
bits,ègíní
bitter,rùkókó
black,dúdú
blackmail,kp’odú-bíẹ́
bladder,ọ̀dọ̀
blame,dọ́ ónẹ̀ údālu
blanket,úkpóò
bleeding,chẹ́bìẹ̀
blend,àgwódámā
blessing,ẹ̀hì
blind,ákpejúfọ́
block,kpà
blood,ẹ̀bìẹ̀
bloody,ẹ̀bìẹ̀-ẹ̀bìẹ̀
blow,fà
blue,bílú
board,àlo
boat,ọ́kọ́
body,ọ́la
boil,ítẹ́bíẹ̀
boiling,rọ
bold,pólòpòlò
bond,ọ̀lálī
bone,áchíkwúù
book,ọ̀tákáda
books,àmọ́tákáda
border,ọ̀mẹ́
bore,gwúdu
born,bí
both,èjìmá
bottle,ùjógò
bottom,ọ̀ganẹ̀
bound,n’ọdà
boundary,ọ̀mẹ́
bountiful,bẹ̀híẹ́ẹ́
bow,ọ́ọ́dọ
bowl,úgbá
box,àkpàtì
boy,ọ́m’onékẹ̀lẹ
boys,àbókólóbíáà
brain,ọ̀kọ̀tọ̀
branch,ẹ́tọ́
branches,ámẹ́tọ́
break,gwúchẹ́
breakfast,ùkpúchẹ́
breast,ẹ́nyáà
breasts,ámẹ́nyáà
breath,ími
breathe,m’ími
breathing,ùmíñmí
bribe,j’obì
brick,ọ́dọ̀
bridge,ákpata
brief,ké
briefly,ké
bright,fánẹ́ẹ̀
brightly,gbágádáá
bring,nẹ́
broad,bàgàà
broadcast,du kpògo
brother,ọ́maye
brothers,àmọmaye
brown,kpikpa
brush,li
brutal,kpẹ́dọ̀
build,kọ́
building,únyí
built,gbá
bullet,ẹ́yọ́
bundle,ẹ̀dọ̀
burden,ùdú
burial,jí-égwú
buried,du jì
burn,jó
burning,jó
burst,ta
business,òbé
busy,kpókpòkpóò
but,ámáà
button,ípínì
buy,là
buyer,ẹ́nẹ ajá
buying,ìlà
by,kpàí
cable,íwáyáà
calculate,lò
call,dọ́
called,kà
calling,dọ́
calm,hìẹ̀dọ̀ wánẹ́ẹ̀
calmly,chíí
canal,ọ̀ọ́nà
cancel,kpàlú
cancer,ápō
capable,neke
capacity,agbà
capital,ágbáà-ajá
captain,ágwọkọ̀
car,ímótò
care,ẹ̀dọ̀
careful,yẹ̀yẹ̀
carefully,yẹ̀yẹ̀
carry,du
carried,nẹ́
carrier,ánádúù
carrying,nẹ́
case,àjọ
cases,àmajọ
casual,ánẹ́ẹ̀
cat,ọ̀bàlà
catalogue,ọ̀tọ́tóhì
catch,mú
categories,ùchẹ̀
Catholic,ólí
cattle,ámokwunọ
cause,ẹ̀tẹ̀
caused,chí
causes,àmaètẹ̀
cave,òwò
cease,dá
ceasing,gbẹ
ceiling,ọ̀pátá
celebrate,gwọ́gwūyọ̀
celebration,àdàmọ́dọ́
center,àlúméjì
central,àlúméjì
centuries,àmọ́dọ́
century,ọ̀dọ́
ceremony,ùchèñwú
certain,kpákáá
certainly,jálíí
certainty,jálíí
chain,ígbálìgbà
chair,ìchẹ́yà
chairman,ágbojí
chance,àfà
change,rídáà
changed,rídáà
changes,àmárídáà
channel,ọ̀ọ́nà
chapter,ùkpẹ̄
chapters,ámúkpẹ̄
character,áli
characteristic,dànó
characteristics,àmálí
characterization,ùdúmiọla
characterize,dábú
charge,gwọ́ t’ọ́mẹ́ẹ̀
charges,àmajọ
charm,ẹ̀fùlẹ́fù
cheap,kpọ̀
cheaply,kpọ́kpọ̀kpọ́ọ̀
check,lí
cheek,ìtì
cheeks,àmaìtì
chief,ónú
Chief,Ónú
chiefs,àmonú
chicken,ọ́màjùwẹ
child,ọ́ma
childhood,ágófo
children,àbímọ́tọ
chin,àgbà
China,Cháínà
Chinese,Cháínà
chip,ẹ̀bẹ́lẹ́
choice,ọ̀ọ́nà
choices,àmọ̣́ọ́nà
choose,dọ́mọ
chose,dọ́mọ
Christian,ákólọjọ
Christmas,Íkéléchìmáchì
church,Àlàdì
churches,àmaÀlàdì
cigarette,ọ̀chìga
cinema,ìgòchèlèmá
circuit,àkàdà
circular,kòlòkòlò
circumstance,ọ̀lá
circumstances,àmọ̣́lá
cited,dọ́
cities,àmewó
city,Éwó Lile
civil,ẹ̀gbẹ́
civilization,éjú-énẹ́ẹ̀
civilized,éjú-échí
claim,gbà
claimed,gbà
claims,àlìfía
clan,ọ̀lọ́pù
clans,àmọ̣́lọ́pù
class,ùchẹ̀
classes,ùchẹ̀
classified,ùchẹ̀
classroom,ìkójì-ọ̀gbánẹ̀
clay,ámá
clean,fẹ́
Clear,fánẹ́ẹ̀
clearing,ìgbàjí
clearly,jálíí
clerk,ákówékāda
click,kẹ́
close,mẹ́rú
closely,mẹ́rú
closer,mẹ́rú
closing,mẹmù
cloth,àchì
clothes,úkpóò
clothing,úkpóò
cloud,ákpá
clouds,ámákpá
club,ùgbóló
cluster,ácha
clusters,àmáchā
coat,ẹ́fúù
coating,kpẹ̀bu
code,òdẹ̀
cohesion,ídígò
coin,ágọ́
coins,ọ́kọ́ ebíjè
cold,áhìdódọ̀
coldly,mìẹ̀lù-mìẹ̀lù
collapse,gwúlọ́
collar,ẹ́gà
collection,ìgò
collective,d’ejú
collectively,òtílì-ótilì
collision,jámù
colonial,ẹ́yìbó
color,ínú
colors,ámínú
column,ẹ̀gbà
combat,ùjà
combination,àgwódámā
combine,gwó dáma
combined,jọ
come,lìá
comes,lìá
comfort,ùrá
comfortable,dẹ̀bú
Command,ché píóò
commanding,nyí
comment,kà
comments,úkọ̀là
commercial,ágọ́
common,ájájẹ̀
Common,gbágádá
commonly,álẹ́gbálẹ́
Commonwealth,ílẹ̀
communicate,kọ̀là
communities,àmewó
community,ojáanẹ̀
company,ígbólí
compared,dábú
compensation,ígbē
compete,l’ùgbàtùgbà
competent,gbéjú
competition,ùgbá
competitions,àmọ́gbā
competitors,àmájó
complaint,àìnọ̀
complaints,àmọ́ìnọ̀
complete,kpa
completely,gbáàà
completion,ùkpōjí
compliance,gb’íbe
complied,gbà
components,àkpẹ̀rù
composed,jọ
compound,òkòlò
compounds,àmokòlò
comprehension,ùmà
compute,lò
computer,kọ̀pútà
computers,àmokòpútà
concealed,májáà
conceived,ténè
concepts,íbē
concern,ẹ̀jíjì
concerned,lí
concerning,ímani
concessions,ádúbà
conclude,kpá-ójí
concluding,jì-ọ́lá
conclusion,jì-ọ́lá
condition,alù
conditional,íchẹñwu
conditions,àmalù
conduct,áli
conference,ùjẹjú
confess,gb’ọ́wó́ ábi
confession,ọ̀là
confidence,ùkẹ́dọ̀nó
confident,ògèénéba
confidently,jálí
configuration,dẹ̀
conflicts,ìhíányì
conform,dè
conformity,gb’íbe
confusion,òlí
conjunction,ámáà
connect,tányí
connected,kámá
connection,éfù
connections,améfù
conquered,dú
conscience,íbe
conscious,mà
consciousness,ímí
consciously,gẹ̀gẹ̀dẹ̀
consensus,álu
consent,gbà
consequence,àjẹ̀bá
consequences,àmọ̀jẹ́bá
Consequently,òñwulẹ́
consider,gòó
considerable,kpòkóò
considerably,pẹ́ẹ́
considered,lí
considering,imáni
consist,dẹ́
consistent,ìkò
consistently,púlú-púlú
consisting,kámá
constitutes,che
constitution,Ọ́dáà
constraint,ìgbàjí
constraints,àmagbàjí
construct,kọ́
construction,úkọ́lọ́
constructing,nẹ́
Construction,úkọ́lọ́
consult,bọ
consultation,álóò
consumed,du jẹ
consuming,jẹ
consumption,újẹ́ñwu
contain,gbà
container,ògō
containing,n’ẹ́ñwu
contemplate,ch’íbē
contender,énẹ-ùgbà
content,íbẹ́fù
contents,áménẹ́fù
continually,ọ́dọ́-ọ́dọ́
continuation,ẹ́ló
continued,náa
continuous,ọ̀gbálìkọ̀
continuously,náa
contract,ọ́gwu
contradictions,àkábō
contrast,ójóojì
contribute,tẹ̄
contribution,ètẹ̀kó̀
contributions,àmètẹ̀kó̀
control,ágó
controls,àmagó
controversy,òlí
convenient,jẹ́
conversation,òlùka
convey,kà
conveyed,du lè
convince,gb'ọla jí
convicted,kp'àbi
Cook,hì
cooking,jídó
cool,bọ́
cooled,dọ́ọ́
cooperative,ọ́jáà
cope,gb’adù
copper,íkóbọ̀
cord,ágbà
corn,àákpà
corner,ójúbáà
correct,fẹ̀lí
correctly,jálíí
correspondence,ílétà
corresponding,dábú
corrupt,bíẹ́nẹ
costly,kpúná
cotton,òwú
Could,káálíì
council,Àmọmajàtá
counsel,k’ukó
Count,dábú
count,álu
counted,gbálukà
countries,àmaójáanẹ̀
country,ójáanẹ̀
countryside,ígbélé
couple,àmọkọ-ñ’ọyà
coupled,gáma
coupling,àmánànyú
courage,òjí égbó
courageous,ágbají
Court,Unyí Ájọ
cover,bòómá
covering,ìtàbò
cow,ókwunọ
craft,ẹ́ñwà
crafty,gbéjú
crash,búla
crawled,fá
cream,ékpo-ọ́la
create,nyí
created,jẹ́
creating,jó
creative,nẹ́
credibility,jálí
credit,àmẹ̀
crevice,òwé
crime,àlàáchí
crimes,àmalàáchí
criminal,àjójí
criminal,ójí
cripple,fọ̀
critically,lúú
crops,àmọ́lí
Cross,dábáà
crossed,dábáà
crossing,ákpata
crowded,gb’ìjáli
crowd,àmọjà
crown,ikẹ̀bẹ́
crucial,ọ̀gbọ́lọ́
cruel,ágáloko
cruelly,pìọ́ọ́piọ̄
crush,nọ̀
culture,ọ̀gwù
Culture,ọ̀gwù
cultured,ùgbéjú
cup,àgó
cure,ẹ̀bọ̀
curiosity,ìjíẹ̀yẹ̀
curious,j’ájó
currently,ábájọ́í
Current,étító
curse,ámáà
cursed,kpébọ
curtain,ìkágbéjí
curve,bà
custom,álí
customary,gbẹ́gbẹ́dẹ́
customer,ẹ́nẹ́-ajá
customers,àmẹ́nẹ́-ajá
customs,àmálí
cut,dá
cutting,dégbé
dad,àtá
daddy,Bàbá
Dad,Bàbá
daily,ọ́jọ́-ọ́jọ́
damn,kpá
damp,gbọ̀gbò
dance,ídó
danced,t’idó
dancing,ídó
danger,àjàbá
dangerous,bíẹ́nẹ
dare,che
dark,chúbí
darkness,ẹ̀chúbi
darkly,fìòòò
date,d’ọ́jọ́
dawn,kẹ́nẹ́
day,ọ́jọ́
days,àmọ́jọ́
Day,Ọ́jọ́
Day,ọ́jọ́
days,ọ́jọ́
dead,úkwú
deadly,kpànyàà
dealer,ánájá
dealing,ché
death,úkwú
debt,ọ́mẹ́ẹ̀
decade,ọ̀dọ́
decades,àmọ́dọ́
decay,chẹ̀
December,Dìsẹ́mbà
decide,kpẹ́-ojì
decided,kpẹ́-ojì
decision,àkàmójí
declare,kà
declining,biẹ́
decrease,dù
decree,ọ́dáà
deduction,chí-kwóò
deemed,lí
deep,kótòó
deeply,gbálí
defeat,dú
defence,ínẹ́ẹ̀
defend,dè
Defense,Ògwu
deficiency,àìkpē
deficiencies,àmàìkpē
deficit,òfù
define,dúmi-ọ̀lá
defined,tẹ̄
definitely,jálíí
degree,ùkpẹ́
deliberate,gẹ́bégédẹ̀
deliberately,gẹ̀gẹ̀dẹ̀
deliberation,ìlò
delivered,gbá
deliver,yọ́
democracy,ọ́dá
denial,àírẹ́
denied,rẹ́
denotes,che
deny,rẹ́
denying,rẹ̀
department,ùchẹ̀
departments,àmúchẹ̀
Department,ùchẹ̀
dependent,bọ̀ọ́
depending,ímani
depth,nẹ́fù
deputy,àchímọ́la
derive,gbà
derived,kwóò
descendants,àmọ́
describe,kà
described,lí
desert,gbẹ́
deserve,dúkpẹ́
design,chónáà
designation,ìchẹ́
designer,àchọ́ná
desire,ténẹ́
desired,ténè
desk,ìtébùlù kẹ́kẹ́
despite,k’ẹ́jūkú
desperately,jùjà
destination,úgbó
destiny,ọ̀káí
destroy,búla
destroyed,kpabíẹ́
destroying,biẹ́
destruction,úkwú
detach,tàchí
detached,tachí
detail,àfàdámá
details,àmọfàdámá
detect,lí
detection,lí-ẹ́gbọ
determine,lọ̀
determined,nà
determines,bà
determining,gbálúká
development,ùmábíì
developmental,àbúbíì
deviation,ílā
devil,ẹ̀bìlíì
devote,d’ẹ́bọ
diabetes,ọ̀gá-ìchúgáà
diagram,àwọ̀nyí
dialogue,ọ̀lá
diameter,ọ́lọ́ọ̀
dictate,kà
did,che
die,kpá
died,kpá
dies,ákpá
diet,ẹ́ñwu-àjẹñwu
differ,ójóojì
different,ójóojì
differentiated,ójóojì
differing,ójóojì
dignity,òjíma
dilemma,ìhíányì
dimension,ùjíjì
dimensions,àmújìjì
dim,m̀úm̀ú
dimly,kpẹ́mùù
direct,gẹ̀gẹ̀dẹ̀
directly,kpàlà
direction,ọ̀ọ́nà
directions,àdọ́gbéè
directly,jálíí
dirty,hìjọ̀ọ̀
disability,olọ́
disable,fọ̀
disabled,ńolọ́
disaster,ùchóbí
discipline,bù
disclosure,kà-dùfù
discovers,dà
discretion,ùmà
discussion,álóò
disease,ọ̀gá
diseases,àmọ́gá
dishevelled,bùgùù
dishes,àmọ́chìbú
dislike,k'ùlàkà
dismissed,hí-tánẹ́ẹ̀
disorderly,júgwúú
dispersion,bíya
displaced,gbẹ́
disposed,ténẹ́
disposition,áli
dispute,ìyàà
dissimilarity,ójóojì
distance,ùbíjì
distant,jìjì
distinctive,nyọ̀
distinct,jálí
distinctly,kpákáá
distort,dàlọ
distorted,ọ̀bọ́dọ́
distributed,kpẹ́
District,Ójánẹ̀
districts,àmọ́jánẹ̀
distinguished,ọ̀kpàtàchìì
disturbances,àjíkà
disturbed,bíùù
disturbing,k’ọ́gbọ
diversity,ojóojí
divide,kpẹ́rú
dividends,àmólè̀
divine,Ọjọ́
divine,Ọ́jọ́
divisions,ùdā
divorce,dáárú
dizzy,wúùùlù
dizzyingly,gàwùù
do,che
doctor,énẹ́ógwù
doctrine,ẹ́gbà
doctrines,àmẹ́gbà
document,ílétà
documents,àmílétà
dog,ábíá
dogs,ámábíá
Domestic,únyí
Domestic,Únyí
dominated,dá
Don,Ẹ́
done,ché
door,ọ́nà
doorway,álu-ọ̀ọ́nà
doors,ámọ́nà
dose,ójī
double,èjì
Double,ẹ̀gwejì
doubt,ẹ́jìjì
down,ọ́ganẹ̀
Down,hí
drag,fọ̀ọ́
dramatically,ákilíwo
drawing,fá
dream,ná
dress,áfẹ̀
dressed,nẹ́ ọ́la
dressing,nẹ́ ọ́la
drifter,ẹ́nẹ́-ujùlù
drink,mọ
drinking,émọ
drive,gwà
driver,ágwọ́kọ
driving,égwá
drop,kpẹ̀ẹ́
dropped,hì
drops,àmí
drug,ógwù
drugs,àmógwù
drunk,m’ọ́tẹ́
drunkenly,gbálẹ́
dry,gbẹ́
due,tódú
duly,gégédẹ́
during,éfù
duration,íkò
Dutch,Dóchù
duties,úkọ́lọ́
duty,údú
dwelling,òdò
dyer,ényání
dying,úkwú
dynamic,gbẹ́gā
dynasty,étẹ̀ọ̀fẹ́
earth,anẹ́ẹ̀
earthly,ánẹ́
ease,gbànyọ̀
easier,dégègè
easily,gbégbé
east,àpá
easy,lọ́la
eat,jẹ
eating,újẹ́ñwu
eaten,jẹ́
economic,ọkọ́
economically,ẹ́rẹ́
educated,gbéjú
effective,kpà
effectively,jálíí
efficient,lọ́lá
efficiently,nyọ́nyọ̀
effort,ùkpáhíú
efforts,àbùché
effortless,fẹ̀ẹ̀lẹ̀
effortlessly,kwúyẹ́ẹ́
egg,ẹ́gẹ
eggs,ámẹ́gẹ
eight,ẹ̀jọ
eighth,ẹ̀kẹ́jọ
either,bàkí
elaborate,jínyà
electric,uná
electricity,únaa
electronic,íló
elevation,úgbógbó
elsewhere,ùgbọ́kìíbọ̀
El,Èl
em,ámí
emanate,kwóò
embedded,dẹ́
embodied,d’ọ́
embrace,gbà
embraced,gbá
embryo,ẹ́gẹ
emerge,dúfù
emergence,ẹ̀dúfù
emerged,dufù
emerging,dúfù
eminent,kpákáá
empire,ojáanẹ̀
empires,àmaójáanẹ̀
employees,àb’úkọ́lọ́
employment,úkọ́lọ́
empty,òfòfo
enable,jẹ̄
enabled,jẹ́
enacted,ché
enclosing,kámá
enclosed,jì
encompassing,kámá
encounter,kẹ̀rẹ́bọ́
encourage,gbà
end,úkpōjí
ended,gbẹ́
endless,ọ̀gbálìkọ̀
End,Jì
endowed,chẹ́
endure,f’ẹ́dọ̀ jẹ́
enduring,dégègè
enemies,àmẹ́nẹ́-ọ́là
enemy,ẹ́nẹ́-ọ́là
energy,ífẹ̀
energies,ámí
engine,éjìnì
engineer,ónẹ́-éjìníyà
engineered,nẹ́
engines,áméjìnì
English,Ẹ́nẹ́fù
English,Ẹ́nẹ́fù
enhance,tọ̀
enjoy,ch’únyọ̀
enjoyed,gbẹ́
enjoying,úrá
enjoyment,ùyọ̀
enlightened,lì-ẹ́jú
enormous,gọmm
enormously,gbódóó
enough,b’ọ́jọ́
en-masse,wùùlù
enriched,che
enrolled,gbálukà
ensure,dọ́mọ
Enter,gbẹ́rẹ̀
entered,gbẹ́rẹ̀
enterprise,ájà
enterprises,àmọ́já
entertainment,iyá
entertainers,àb’úkèlì
entire,chákáá
entirely,gbáàà
entrance,álú
entry,úgbọ
environment,ánẹ́ẹ̀
Environment,ánẹ́ẹ̀
envy,ùliẹ́ná
epic,ágójì
epochs,àmọ́dọ́
equal,dábú
equally,déídéí
equals,ámẹ́nẹ́gọ́
equipment,ẹ́ñwu-ígbélé
Equipment,àmẹ́ñwu-ígbélé
equivalent,dábú
era,ọ̀dọ́
eras,àmọ́dọ́
erase,kpàlú
erasure,ìkpàlú
error,ílā
escape,rá
escapes,álērá
especially,káā
essay,ẹ́ñwu
essence,ojó
essential,ọ́kọ́
essentially,ójó
establish,dọ́mọ́
established,jó
establishing,j’ọ́lá
establishment,úgbọ́dànyí
establishments,àmúgbọ́dànyí
estate,íjà
Estate,ìgà
estimate,dábú
estimated,dábú
etc,àmọ́kàmọ
evacuate,yà
evaluate,gòó
even,ché
evening,ánẹ́
Eventually,ìkòkáà
event,ẹ́ñwu
eventual,í-kpọ́kpẹ́ chuu
eventually,chuu
events,ámẹ́ñwu
evidently,jálíí
evidence,àjó
evil,èbìlíì
Evil,ìnáà
evolution,èmíì
exact,kpàkpà
exactly,gẹ̀gẹ̀dẹ̀
examination,àñwàgó
examine,chábè
example,òdè
examples,àmọ́dè
exceptionally,gbálí
excessive,gbẹ̀
exceed,gbáanẹ̀
exceeding,jájá
excellence,ètẹ̀lẹ̀
excellent,nyọ̀nyọ̀
excellently,biọwọ́-biọwọ́
except,ámáà
excess,òdòdó
excessive,ólóló
excessively,chàkpàà
exchanged,kpàjìlọ̀
exclusion,ótìíkpẹ́
exclusively,òókaté
excuse,á
excuse,ètẹ̀
execute,kpabíẹ́
executing,chọ́
executive,ògijo
Exercise,gb’ọ́lá
exercise,ñw’ányà
exert,d’úkpáhíú
exerted,nẹ́ úkpáhíú
exhibit,ch’òdùgbá
exile,ilé-égbégbélẹ̀
existence,údèjú
existing,bọ̀
exist,dẹ́
existed,jọ
exit,òdódùfù
expand,dàgbá
expanded,dàgbá
expect,néjú
Expectation,ínẹ́jú
expected,chōchí
expecting,mà
expectation,ínẹ́jú
expected,ténẹ́
expecting,ténẹ́
expenditure,ìkálò
expense,íná
expenses,ámínà
expensive,lọ́wọ́ ṅ
experience,lí
experienced,gbẹ́
experiences,àmọ́lí
Experience,Lí-ọ́gbà
Experience,ílẹ̀
experiment,áñwàgó
expert,égbá
expertise,ùmà
experts,àmọ́gijo
explain,kà
explained,tẹ̀-ọ́lá
explaining,kà
explanation,ètẹ̀
explicitly,gbálí
explore,ténẹ́
exploring,ténè
explosions,ámátá
exposed,chí
expose,chí
exposed,tá
exposing,tá
exposition,àdùñà
expression,ẹ́j’egbá
expressions,úkọ̀là
expression,ùkomù
expressions,àmúkòmù
expressive,dágō
Express,kà jálíí
express,kà
expressed,jẹ́
expressing,k’ẹ́jūkú
expressly,gẹ̀gẹ̀dẹ̀
extend,chégbègbá
extended,jijì
extensively,dúú
extent,ójá
external,ónèmúnẹ́
extract,ñọ́
extracted,yà
extra,átúlè
extraordinarily,ágójì
extraordinary,ákilíwo
extremely,fíòò
eye,ẹ́jú
eyed,kpá
eyes,ámẹ́jú
eyed,kpá
eyes,ámẹ́jú
f.,ọ̀fẹ́
face,ẹ́jú
faced,kẹrẹ́bọ́
facilitate,jẹ̄
fact,ọ̀gẹ̀chá
factor,ojó
factors,àmaojó
factory,íkópènì
fade,chá
faded,ẹ̀chá
fail,chì
failed,chì
failure,ále
fair,jálíí
fairly,chèchè
faith,ínẹ́ẹ̀
fall,lọ́
falling,gbégbégédẹ́
falls,ákpá
FALSE,ọ̀lèémí
falsehood,èémí
Family,àbímọ́tọ
family,àbímọ́tọ
famous,j’odú
fan,áyínáà
far,jíjì
farther,gbáanẹ̀
fashion,ìjága
fast,gbáà
faster,híáanẹ̀
fasten,dákwúù
fat,yóyó
fatal,k’úkwú jẹ́
fate,íbégwú
father,àtá
Father,Ọ́jọ́ Àtá
fathers,àmọ́tá
fault,ẹ̀biẹ́nẹ́
faults,àmẹ̀biẹ́nẹ́
favor,ídí
favorable,dáb’ọ́lá
favorably,jálíí
favored,jó
favors,ìdí
fear,ch’ókpò
fearful,j’éjìjì
fearfulness,àìlò
feast,ùchèñwú
February,Fébùárì
federal,ọ́jááne
fee,ọ́kọ́
feed,jẹ
feeding,újẹ́ñwu
feel,ténẹ́
feeling,èmí
feelings,àmèmí
feet,ámẹ́rẹ́
fellow,ẹ́nẹ́
female,ólé
females,àbóbúlẹ̀
fence,ọ́gbáà
fenced,d’ọ́gbá
fences,àmọ́gbá
fend,jì
few,kékélẹ́
fewer,gégègè
field,ẹ̀mí
fields,ámẹ̀mí
fifteen,ẹ́g̀wẹ́lúù
fifth,ẹ́kẹ́lū
fifty,óóje
fight,j’ùjà
fighting,újà
fights,àmójá
figure,ódú
figures,àmalú
file,ẹ́gbẹ́
fill,kọ́
filled,kọ́
film,sìnímà
filter,tà
final,ótítálá
finally,káá
financial,ọ́kọ́
find,yẹ̀
finding,gb’íhì
findings,ẹ́lí
fine,ínyẹ́ẹ̀
finely,gbégbégédẹ́
finest,ọ̀kpàtàchìì
finger,ọ́mọwọ́
fingers,ámọ́mọwọ́
finish,kpa
finished,kpá
finishing,jì
fire,úna
fired,gbá
Fire,Ùná
fires,àmúná
firm,jányíí
firmly,gágàdā
first,ojódùdú
first-rate,kpákáá
fish,ẹ́ja
Fish,ẹ́ja
fished,gbá
fisherman,á́kpẹ́jà
fishes,àmẹ́jà
fishing,kpẹ́jà
fit,kámọ́
fitting,dè
fits,kámọ́
five,ẹ́lú
Five,ẹ́lẹ́lúù
fixed,tẹ́
flag,ágàlígà
flame,ẹ́gẹ-úna
flames,àmẹ̀gẹ-úná
flash,ráá
flashlight,ítọ́chì
flat,pátákáá
fled,rá
fleet,ímótò-ejọ́mi
fleeting,ùbálẹ̀
flesh,ọ́rọ́
flexible,lọ́la
flexibility,lọ́lá
flicker,tìkìrìkìrì
flight,ànyẹ́là
flinch,jọ́gīgili
flood,ìdí-omi
flooded,yólọ́
flow,chá
Flow,Ídíí
flowed,yólọ́
Flow,Ìgbégbélẹ̀
flower,odòdó
flowered,t’íjākpáà
flowers,ámọ́dòdó
flowing,chá
flux,ìlí
fly,họ́
focal,ójó
focus,ẹ́jú
focused,gẹ̀gẹ̀dẹ̀
focuses,àfádọ̀dọ́
foe,ẹ́nẹ́-ọ̀lá
fog,átúlá
fold,chẹ́
folded,ẹ̀chẹ́
folk,òhíka
folks,àbóígbélẹ́
follow,kpó
followed,dójí
following,ámúdójí
food,ùjẹñwú
foods,àmọ́jẹñwu
foot,ẹ́rẹ́
football,íbọ́lù
foolish,idádà
foot-dragging,dẹ̀yúdọ́
foolish,lá
foolishly,idádà
